Chooser	LeftChosen	RightChosen	ChooserSpecies	ChooserSex	ChosenExperience	CrossFoster	VisitedBothInAccl	StartRecordTime	TotalTrialLength	LeftinLeft	LeftinCenter	LeftinRight	CenterinLeft	CenterinCenter	CenterinRight	RightinLeft	RightinCenter	RightinRight	CenterGlobalOverlapWithLeft	CenterGlobalOverlapWithRight	CenterOverlapWithLeftinLeft	CenterOverlapWithRightinRight	PrefForLeft	PrefForRight	PrefForL	PrefForG	PrefInd	Mate
GOF445	GOM425	LLM298	G	F	virgin	pure	N	30.05.2013 12:24:17	159190	159190	0	0	3965	41216	114009	0	0	159190	3965	114009	3965	114009	0.0336091	0.9663909	0.9663909	0.0336091	H	
GOF462	LLM310	GOM455	G	F	virgin	pure	Y	11.06.2013 13:54:00	180190	180190	0	0	8858	43948	127384	8858	42509	128823	8858	127384	8858	127384	0.065016662	0.934983338	0.065016662	0.934983338	C	
GOF475	GOM446	LLM335	G	F	virgin	pure	Y	04.07.2013 12:57:00	162720	162720	0	0	1273	157464	3983	0	290	162430	1273	3983	1273	3979	0.242383854	0.757616146	0.757616146	0.242383854	H	
GOF489	LLM319	GOM461	G	F	virgin	pure	N	07.07.2013 13:03:00	248444	248444	0	0	7868	195750	44826	0	1626	246818	7868	44826	7868	44826	0.149314913	0.850685087	0.149314913	0.850685087	C	
GOM499	LLF366	GOF509	G	M	virgin	pure	Y	02.08.2013 10:11:00	151586	151586	0	0	136	149625	1825	0	0	151586	136	1825	136	1825	0.069352371	0.930647629	0.069352371	0.930647629	C	
GOM504	GOF535	LLF339	G	M	virgin	pure	Y	18.08.2013 13:00:00	158939	146156	12783	0	13629	144811	499	0	14042	144897	13629	499	3159	321	0.907758621	0.092241379	0.092241379	0.907758621	C	
GOM501	LLF394	GOF524	G	M	virgin	pure	N	23.08.2013 09:58:00	147531	147531	0	0	1347	145912	272	0	0	147531	1347	272	1347	272	0.831995059	0.168004941	0.831995059	0.168004941	H	
GOM522	GOF549	LLF375	G	M	virgin	pure	N	05.09.2013 10:20:00	152516	152485	31	0	144827	7689	0	0	0	152516	144827	0	144796	0	1	0	0	1	C	C
GOM525	LLF443	GOF569	G	M	virgin	pure	Y	03.10.2013 12:31:16	160252	160252	0	0	68430	84459	7363	0	0	160252	68430	7363	68430	7363	0.902853826	0.097146174	0.902853826	0.097146174	H	H
GOM582	GOF598	LLF476	G	M	virgin	pure	N	12.12.2013 12:17:57	159379	140626	18448	305	8104	90488	60787	0	0	159379	8104	60787	3889	60787	0.060130497	0.939869503	0.939869503	0.060130497	H	
GOM605	LLF526	GOF591	G	M	virgin	pure	Y	11.01.2014 12:08:40	154548	158995	0	0	455	154093	0	0	0	158995	1496	1212	1496	1212	0.552437223	0.447562777	0.552437223	0.447562777	H	
LLF248cf	LLM239B	GOM385	L	F	virgin	cf	Y	15.02.2013 11:31:17	153313	141830	9118	2365	45727	92136	15450	0	75	153238	45727	15450	42520	15375	0.734433025	0.265566975	0.734433025	0.265566975	C	
LLF250cf	GOM393	LLM251	L	F	virgin	cf	Y	22.02.2013 10:52:43	153463	153463	0	0	432	4748	148283	0	0	153463	432	148283	432	148283	0.002904885	0.997095115	0.997095115	0.002904885	C	
LLF314cf	LLM273	GOM431	L	F	virgin	cf	N	23.05.2013 10:36:00	152580	152580	0	0	46455	84164	21961	0	0	152580	46455	21961	46455	21961	0.679007834	0.320992166	0.679007834	0.320992166	C	
