Male ID,Birthcage,Enclosure,Sire First Round Dominance Status,Sire Second Round Dominance Status,Dominance Status,Body Mass (g),Timepoint,Bradford Protein Assay,Creatinine Assay,MUP ratio (Bradford /Creatinine),Residual protein,Gel,Darcin band Area,MUP band area,Darcin band Relative Density to C57/Bl control ,MUP band Relative Density to C57/BL control,Darcin band: % of total,Darcin band % total Relative,Mup band + Darcin band Relative,Residual Darcin Relative Density,Residual MUP Relative Density,Residual Mup + Darcin Relative,Residual Darcin: % of total
2180,26,2,Lost,Won,0,19.6,3,5.08,0.05946,85.43558695,1.338168036,Pre2_Gel5,1925.134,9108.267,0.688451541,1.534639608,0.174477696,0.309682103,2.223091149,0.260720654,0.437730927,0.698451581,0.04478901
2181,26,11,Lost,Won,0,19.6,3,5.128,0.05225,98.14354067,1.443689868,Pre2_Gel6,1911.548,10062.388,0.484138604,1.063645621,0.15962668,0.312794637,1.547784225,0.064449257,-0.005349268,0.059099988,0.030798513
2182,26,13,Lost,Won,0,19.4,3,3.4592,0.04721,73.27261173,-0.184900696,Pre2_Gel6,883.719,7416.782,0.223767692,0.78401222,0.106429898,0.222040239,1.007779912,-0.190300385,-0.265470116,-0.4557705,-0.021796742
2183,26,12,Lost,Won,0,21.3,3,4.6648,0.07063,66.04558969,0.833853075,,,,,,,,,,,,
2184,26,1,Lost,Won,0,21.4,3,4.5952,0.04216,108.9943074,0.991388521,Pre2_Gel6,2135.326,10755.459,0.540751586,1.136863544,0.165620329,0.322333518,1.67761513,0.132315933,0.106932477,0.239248411,0.037996411
2195,6.63,3,Won,Won,0,,3,,,,,,,,,,,,,,,,
2200,6.129,10,Won,Won,0,19,3,3.7624,0.03982,94.48518332,0.177257188,,,,,,,,,,,,
2206,11,8,Won,Lost,0,21.4,3,4.116,0.06,68.6,0.369859882,,,,,,,,,,,,
2207,11,1,Won,Lost,0,20.2,3,4.0488,0.06685,60.56544503,0.248010152,,,,,,,,,,,,
2208,11,9,Won,Lost,0,19.1,3,3.028,0.06505,46.54880861,-0.758429335,Pre2_Gel6,816.648,7253.782,0.20693021,0.766802444,0.101217474,0.212512345,0.973732654,-0.22703538,-0.351748137,-0.578783517,-0.029138383
2211,4.76,5,Won,Won,0,21,3,3.1008,0.05297,58.53879554,-0.589254337,,,,,,,,,,,,
2212,4.76,11,Won,Won,0,26,3,3.332,0.12324,27.0366764,-0.918672806,Pre2_Gel6,685.406,8183.953,0.173499268,0.865071283,0.07723224,0.167055833,1.038570551,-0.32536746,-0.478764118,-0.804131579,-0.060068638
2213,4.76,6,Won,Won,0,23.7,3,4.1048,0.04468,91.87108326,0.480883803,,,,,,,,,,,,
2219,24,10,Lost,Won,0,23.9,3,4.0376,0.04721,85.52425334,0.393499304,,,,,,,,,,,,
2225,31,6,Lost,Lost,0,,3,,,,,,,,,,,,,,,,
2230,33,5,Lost,Lost,0,18.3,3,,,,,,,,,,,,,,,,
2231,33,4,Lost,Lost,0,,3,,,,,,,,,,,,,,,,
2233,33,12,Lost,Lost,0,19.3,3,3.8496,0.03027,127.1754212,0.340647687,Pre2_Gel6,458.406,7850.246,0.116154222,0.829837067,0.055188406,0.122785721,0.945991289,-0.27902014,-0.154061408,-0.433081548,-0.071016432
2240,3.5,9,Won,Won,0,,3,,,,,,,,,,,,,,,,
2247,14,8,Won,Lost,0,26.2,3,5.2008,0.04613,112.7422502,1.565315612,,,,,,,,,,,,
2248,14,7,Won,Lost,0,,3,,,,,,,,,,,,,,,,
2257,28.8,7,Lost,Lost,0,,3,,,,,,,,,,,,,,,,
2259,28.8,13,Lost,Lost,0,22.5,3,2.6688,0.0373,71.54959786,-0.896238094,,,,,,,,,,,,
