setup,female,male,Generation_female,Generation_male,Phase_siring,Number_offspring,inbreeding_status,female_origin,male_origin,familiarity
I roomB,30,20,F0,F0,7,5,no,G,G,repeated
I roomB,30,20,F0,F0,3,5,no,G,G,new
I roomB,31,20,F0,F0,2,1,no,G,G,new
I roomB,31,21,F0,F0,2,2,no,G,G,new
I roomB,31,22,F0,F0,2,1,no,G,G,new
I roomB,32,20,F0,F0,8,1,no,G,G,repeated
I roomB,32,20,F0,F0,7,6,no,G,G,new
I roomB,32,658,F0,F1,8,2,no,G,GG,new
I roomB,33,24,F0,F0,3,2,no,G,G,repeated
I roomB,33,24,F0,F0,3,2,no,G,G,repeated
I roomB,33,24,F0,F0,1,7,no,G,G,new
I roomB,62,21,F0,F0,5,1,no,F,G,new
I roomB,62,61,F0,F0,2,7,no,F,F,new
I roomB,62,61,F0,F0,5,4,no,F,F,repeated
I roomB,65,55,F0,F0,8,3,no,F,F,repeated
I roomB,65,55,F0,F0,2,6,no,F,F,new
I roomB,65,647,F0,F1,8,1,no,F,FF,new
I roomB,67,55,F0,F0,2,1,no,F,F,new
I roomB,67,56,F0,F0,2,2,no,F,F,new
I roomB,67,59,F0,F0,2,2,no,F,F,new
I roomB,68,21,F0,F0,3,4,no,F,G,new
I roomB,68,61,F0,F0,7,1,no,F,F,new
I roomB,68,645,F0,F1,7,2,no,F,GG,new
I roomB,641,61,F1,F0,7,5,no,FG,F,new
I roomB,641,645,F1,F1,7,1,no,FG,GG,new
I roomB,654,23,F1,F0,7,1,no,FF,G,new
I roomB,654,55,F1,F0,7,2,daughter-father,FF,F,new
II roomA,87,74,F0,F0,6,2,no,F,F,new
II roomA,84,95,F0,F0,4,1,no,F,G,new
II roomA,84,95,F0,F0,6,1,no,F,G,repeated
II roomA,84,96,F0,F0,4,4,no,F,G,repeated
II roomA,84,96,F0,F0,1,7,no,F,G,new
II roomA,84,96,F0,F0,3,6,no,F,G,repeated
II roomA,84,686,F0,F1,8,1,no,F,GG,repeated
II roomA,84,686,F0,F1,6,5,no,F,GG,new
II roomA,84,686,F0,F1,7,5,no,F,GG,repeated
II roomA,84,732,F0,F1,6,1,no,F,GG,new
II roomA,85,82,F0,F0,7,3,no,F,F,new
II roomA,86,101,F0,F0,5,4,no,F,G,new
II roomA,86,716,F0,F1,8,2,no,F,FG,new
II roomA,86,1959,F0,F1,8,4,no,F,GF,new
II roomA,89,96,F0,F0,3,3,no,F,G,repeated
II roomA,89,96,F0,F0,5,4,no,F,G,repeated
II roomA,89,96,F0,F0,1,3,no,F,G,new
II roomA,89,723,F0,F1,10,1,no,F,GF,new
II roomA,89,2210,F0,F1,10,2,mother-son,F,FG,new
II roomA,91,95,F0,F0,3,3,no,F,G,new
II roomA,91,667,F0,F1,8,1,mother-son,F,FG,new
II roomA,91,682,F0,F1,8,2,no,F,FG,new
II roomA,91,700,F0,F1,6,6,no,F,FG,new
II roomA,103,82,F0,F0,3,5,no,G,F,new
II roomA,103,82,F0,F0,6,5,no,G,F,repeated
II roomA,103,82,F0,F0,5,6,no,G,F,repeated
II roomA,103,704,F0,F1,9,5,no,G,GF,new
II roomA,104,74,F0,F0,6,2,no,G,F,new
II roomA,104,95,F0,F0,3,5,no,G,G,new
II roomA,104,671,F0,F1,8,2,no,G,FG,repeated
II roomA,104,671,F0,F1,6,3,no,G,FG,new
II roomA,105,97,F0,F0,1,5,no,G,G,new
II roomA,105,97,F0,F0,2,7,no,G,G,repeated
II roomA,105,97,F0,F0,3,10,no,G,G,repeated
II roomA,105,101,F0,F0,5,5,no,G,G,new
II roomA,105,674,F0,F1,10,8,no,G,GF,repeated
